,0
317,"['inviscid', 'hypersonic', 'flow', 'past', 'blunt', 'bodies', 'two', 'methods', 'shown', 'calculation', 'flow', 'fieldbetween', 'blunt', 'body', 'shock', 'associated', 'thecase', 'hypersonic', 'flow', 'real', 'gas', 'effects', 'included', 'thesolutions', 'consider', 'symmetric', 'flowsthat', 'is', 'symmetricbodies', 'zero', 'incidence', 'one', 'method', 'consists', 'tracing', 'successive', 'stream', 'tubes', 'aroundthe', 'body', 'leads', 'iterations', 'initially', 'assumed', 'positionof', 'shock', 'second', 'integral', 'method', 'closely', 'analogousto', 'karmanpohlhausen', 'procedure', 'boundary', 'layers', 'adistinction', 'made', 'roundnosed', 'flatnosed', 'bodiesand', 'cases', 'discussed', 'specific', 'example', 'corresponding', 'reentry', 'missile', 'situationis', 'calculated', 'two', 'methods', 'agree', 'within', 'per', 'cent', 'comparison', 'also', 'made', 'known', 'solutions', 'thestagnation', 'region']"
318,"['propagation', 'weak', 'disturbances', 'gas', 'subject', 'torelaxation', 'effects', 'generalized', 'wave', 'equation', 'derived', 'sound', 'disturbancesin', 'gas', 'relaxation', 'effects', 'connected', 'with', 'examplemolecular', 'vibration', 'dissociation', 'important', 'solutions', 'involvingdiscontinuous', 'wave', 'fronts', 'presented', 'shownthat', 'certain', 'assumptions', 'complete', 'wave', 'equation', 'reducesto', 'variant', 'telegraph', 'equation', 'detailed', 'solutionsare', 'presented', 'disturbance', 'fields', 'produced', 'wavy', 'wall', 'insubsonic', 'supersonic', 'flow', 'simple', 'wedge', 'supersonicflow', 'study', 'viewed', 'step', 'development', 'atheory', 'small', 'disturbances', 'hightemperature', 'gas', 'foundbehind', 'shock', 'hypersonic', 'flight']"
319,"['comment', 'improved', 'numerical', 'solution', 'blasius', 'problem', 'withthreepoint', 'boundary', 'conditions', 'attention', 'drawn', 'previous', 'accurate', 'solution', 'problem']"
320,"['improved', 'numerical', 'solution', 'blasius', 'problem', 'threepointboundary', 'conditions', 'blasius', 'equation', 'describes', 'velocity', 'distribution', 'resulting', 'fromlaminar', 'constantpressure', 'mixing', 'stationary', 'fluid', 'layer', 'amoving', 'stream', 'connection', 'numerical', 'procedure', 'univacbased', 'analytic', 'continuation', 'function', 'f', 'highspeed', 'computers', 'make', 'feasible', 'use', 'analytic', 'continuation', 'numericalintegration', 'singlepoint', 'boundaryvalue', 'problems', 'that', 'withinthe', 'limits', 'taylors', 'expansion', 'truncation', 'error', 'may', 'madearbitrarily', 'small', 'brief', 'description', 'application', 'theroutine', 'given']"
321,"['numerical', 'solution', 'blasius', 'problem', 'threepointboundary', 'conditions', 'relates', 'technique', 'approximate', 'determination', 'initialparameters', 'technique', 'application', 'asymptotic', 'integrationmethod', 'introduced', 'meksyn', 'applied', 'computation', 'skin', 'friction', 'shockgenerated', 'boundarylayer', 'flow']"
322,"['vorticity', 'interaction', 'axisymmetric', 'stagnationpoint', 'viscous', 'incompressible', 'fluid', 'purpose', 'present', 'note', 'give', 'exact', 'solution', 'ofthe', 'incompressible', 'navierstokes', 'equations', 'axisymmetricstagnation', 'point', 'vorticity', 'oncoming', 'flow', 'varieslinearly', 'distance', 'axis', 'solution', 'applicationto', 'hypersonic', 'axisymmetric', 'blunt', 'body', 'problem', 'whichlighthill', 'shown', 'vorticity', 'inviscid', 'shock', 'layer', 'isvery', 'nearly', 'form']"
323,"['vorticity', 'effect', 'stagnation', 'point', 'flow', 'viscous', 'incompressiblefluid', 'effect', 'vorticity', 'axisymmetric', 'stagnation', 'point', 'boundary', 'layercalculations', 'investigated', 'calculating', 'perturbation', 'thestagnation', 'point', 'flow', 'shear', 'caused', 'vorticity', 'effect', 'isfound', 'surprisingly', 'largethe', 'slope', 'shear', 'curve', 'at', 'zerovorticity', 'calculated', 'kemp', 'agrees', 'perfectly', 'value', 'deduced', 'note']"
324,"['heat', 'transfer', 'constant', 'property', 'laminar', 'boundarylayer', 'flows', 'power', 'function', 'free', 'stream', 'velocityand', 'wall', 'temperature', 'variation', 'numerical', 'computations', 'performed', 'boundarylayerform', 'energy', 'equation', 'incompressible', 'flowswith', 'powerfunction', 'variation', 'freestream', 'velocity', 'u', 'cx', 'wall', 'temperature', 't', 'ax', 'pertinent', 'solutionsof', 'momentum', 'equation', 'case', 'hartree', 'the', 'numerical', 'computations', 'given', 'herein', 'extent', 'arepetition', 'given', 'schuh', 'chapman', 'rubesinthe', 'object', 'present', 'computations', 'resolution', 'discrepanciesappearing', 'previous', 'solutions', 'extension', 'oftheir', 'range', 'ibm', 'machine', 'calculations', 'employed', 'thefinite', 'difference', 'calculation', 'presently', 'utilized', 'results', 'thereofcovering', 'range', 'walltemperature', 'function', 'exponents', 'fromvalues', 'm4', '1', '0', '00904', 'accuracy', 'numericalcomputations', 'examined', 'detail', 'accuracy', 'computedfunctions', 'wall', 'determine', 'heattransferrate', 'estimated', 'within', '2', 'per', 'cent', 'examination', 'results', 'reveals', 'results', 'schuhfor', 'flat', 'plate', 'error', 'range', 'calculationsit', 'found', 'local', 'heattransfer', 'coefficient', 'can', 'theexception', 'large', 'negative', 'values', 'expressed', 'within', '5per', 'cent', 'aswhere', 'exponent', 'prandtl', 'number', 'varies', '0254to', '0367', '00904', 'functioncan', 'approximated', 'equation']"
325,"['forstorder', 'slip', 'effects', 'compressible', 'laminarboundary', 'layer', 'slender', 'body', 'revolution', 'inaxial', 'flow', 'analysis', 'thecompressible', 'boundary', 'layer', 'transverse', 'curvature', 'first', 'orderslip', 'flow', 'boundarylayer', 'interaction', 'effects', 'consideredand', 'zero', 'pressuregradient', 'case', 'examined']"
326,"['local', 'flat', 'plate', 'similarity', 'hypersonic', 'boundarylayer', 'study', 'made', 'lees', 'local', 'flatplate', 'similarity', 'rule', 'forthe', 'hypersonic', 'laminar', 'boundary', 'layer', 'shown', 'thisrule', 'exact', 'assumptions', 'commonly', 'invoked', 'inviscidtheory', 'hypersonic', 'flow', 'beginning', 'theoretical', 'basis', 'modified', 'local', 'flatplatesimilarity', 'scheme', 'derived', 'involving', 'separate', 'rules', 'forvelocity', 'enthalpy', 'profiles', 'compared', 'exact', 'similaritysolutions', 'existing', 'theory', 'hypersonic', 'leadingedgeinteraction']"
327,"['boundary', 'layer', 'near', 'stagnation', 'point', 'hypersonicflow', 'past', 'sphere', 'flow', 'properties', 'behind', 'shock', 'waves', 'caused', 'bluff', 'bodiestraveling', 'supersonic', 'speeds', 'major', 'importance', 'missileand', 'highspeed', 'aircraft', 'design', 'paper', 'presents', 'mathematical', 'solutionfor', 'laminar', 'boundary', 'layer', 'near', 'stagnation', 'point', 'asphere', 'surface', 'temperature', 'freestream', 'static', 'shock', 'isstrong', 'air', 'assumed', 'calorically', 'thermally', 'perfect', 'aprandtl', 'number', '072', 'dynamic', 'viscosity', 'directly', 'proportionalto', 'temperature', 'based', 'work', 'homann', 'zamm', '16', 'p', '153', '1936', 'lighthillsimultaneous', 'differential', 'equations', 'velocity', 'temperatureprofiles', 'solved', 'numerical', 'integration', 'along', 'anormal', 'surface', 'using', 'digital', 'computer', 'results', 'presentedas', 'functions', 'freestream', 'mach', 'number', 'reynoldsnumber', 'specific', 'heat', 'ratio', 'increases', 'boundarylayerthickness', 'shown', 'decrease', 'shock', 'standoff', 'distanceincreases', 'standoff', 'distance', 'also', 'decreases', 'increasingand', 'decreasing', 'specific', 'heat', 'constant', 'specificheat', 'ratio', 'product', 'skinfriction', 'coefficient', 'squareroot', 'decreases', 'increasing', 'approaching', 'constantvalue', 'greater', '10000', 'reviewers', 'comment', 'concerned', 'perfect', 'gas', 'assumptionfor', 'air', 'author', 'suggests', 'effects', 'dissociation', 'onflow', 'properties', 'accounted', 'proper', 'choice', 'specificheat', 'ratio', 'consideration', 'kinetics', 'chemical', 'reaction', 'inthe', 'cooled', 'boundary', 'layer', 'emphasizes', 'oversimplification', 'ofthis', 'approach', 'effect', 'transport', 'properties', 'could', 'beenapproximated', 'present', 'analysis', 'changing', 'prandtl', 'numberto', 'one', 'representative', 'existing', 'pressures', 'temperatures']"
328,"['various', 'aerodynamic', 'characteristics', 'hypersonic', 'rarefiedgas', 'flow', 'paper', 'considers', 'problem', 'calculating', 'viscous', 'aerodynamiccharacteristics', 'blunt', 'bodies', 'hypersonic', 'speeds', 'andat', 'sufficiently', 'high', 'altitudes', 'appropriate', 'mean', 'freepath', 'becomes', 'large', 'use', 'familiar', 'boundarylayertheory', 'large', 'free', 'molecule', 'concepts', 'apply', 'results', 'orderofmagnitude', 'analysis', 'presented', 'todefine', 'regimes', 'rarefied', 'gas', 'flow', 'limits', 'continuumtheory', 'based', 'theoretical', 'experimental', 'evidencethe', 'complete', 'navierstokes', 'equations', 'used', 'amodel', 'except', 'very', 'close', 'free', 'molecule', 'condition', 'thismodel', 'may', 'necessarily', 'give', 'shock', 'wave', 'structure', 'indetail', 'satisfies', 'overall', 'conservation', 'laws', 'give', 'areasonably', 'accurate', 'picture', 'mean', 'aerodynamic', 'quantities', 'intermediate', 'regime', 'two', 'fundamental', 'classesof', 'problems', 'viscous', 'layer', 'class', 'merged', 'layerclass', 'latter', 'corresponding', 'larger', 'degree', 'rarefaction', 'for', 'viscous', 'layer', 'class', 'thin', 'shock', 'wave', 'theshock', 'layer', 'region', 'shock', 'body', 'fully', 'viscousalthough', 'viscous', 'stresses', 'conductive', 'heat', 'transferare', 'small', 'shock', 'wave', 'boundary', 'here', 'use', 'thenavierstokes', 'equations', 'outer', 'boundary', 'conditions', 'givenby', 'hugoniot', 'relations', 'justified', 'merged', 'layerclass', 'shock', 'wave', 'longer', 'thin', 'navierstokesequations', 'used', 'give', 'solution', 'includes', 'shockstructure', 'freestream', 'conditions', 'outer', 'boundary', 'conditions', 'simpler', 'procedure', 'presented', 'incipient', 'mergedconditions', 'shock', 'may', 'longer', 'considered', 'infinitesimallythin', 'discontinuity', 'thickenedsufficiently', 'entail', 'fully', 'merged', 'layer', 'analysis', 'thiscase', 'approximate', 'shock', 'discontinuity', 'obeying', 'conservationlaws', 'include', 'curvature', 'effects', 'viscous', 'stressesand', 'heat', 'conduction', 'sphere', 'cylinder', 'shown', 'navierstokesequations', 'reduced', 'ordinary', 'differential', 'equations', 'forboth', 'viscous', 'merged', 'layer', 'class', 'problems', 'solutionsof', 'equations', 'used', 'connection', 'hypersonic', 'flowproblems', 'general', 'valid', 'stagnation', 'region', 'toillustrate', 'viscous', 'layer', 'solutions', 'numerical', 'calculationshave', 'performed', 'sphere', 'cylinder', 'assumptionof', 'constant', 'density', 'shock', 'layer', 'usefulapproximation', 'hypersonic', 'speeds', 'illustrate', 'mergedlayer', 'solution', 'calculations', 'carried', 'sphereusing', 'incipient', 'merged', 'layer', 'approximation', 'results', 'presented', 'detachment', 'distance', 'surface', 'shearand', 'heattransfer', 'rate', 'stagnation', 'region', 'highly', 'cooledsphere', 'flying', 'hypersonic', 'speed', 'decreasing', 'reynoldsnumber', 'shear', 'heat', 'transfer', 'shown', 'increase', 'abovethe', 'extrapolated', 'boundarylayer', 'values', 'viscous', 'layerregime', 'begin', 'falling', 'incipient', 'merged', 'regime', 'as', 'reynolds', 'number', 'decreases', 'incipient', 'mergedregime', 'density', 'shock', 'layer', 'increases', 'staticand', 'stagnation', 'enthalpy', 'behind', 'shock', 'decrease', 'calculations', 'performed', 'insulated', 'sphere', 'show', 'that', 'withdecreasing', 'reynolds', 'number', 'incipient', 'merged', 'regimethe', 'density', 'shock', 'layer', 'decreases', 'total', 'enthalpy', 'behindthe', 'shock', 'stagnation', 'point', 'increase', 'theyare', 'higher', 'freestream', 'total', 'enthalpy', 'stagnationpointpressure', 'behaves', 'like', 'total', 'enthalpy', 'highly', 'cooled', 'cylinder', 'viscous', 'layer', 'regime', 'thesame', 'quantities', 'presented', 'sphere', 'increasefound', 'shear', 'heat', 'transfer', 'extrapolated', 'boundarylayertheory', 'small', 'agreement', 'vorticity', 'interactiontheory', 'discussion', 'given', 'behavior', 'available', 'experimentaldata', 'viscous', 'flow', 'quantities', 'intermediate', 'regime', 'andthe', 'behavior', 'predicted', 'results', 'present', 'calculations', 'qualitative', 'agreement', 'indicated']"
329,"['taylor', 'instability', 'finite', 'surface', 'waves', 'instability', 'accelerated', 'interfacebetween', 'liquid', 'methanol', 'carbontetrachloride', 'air', 'investigatedexperimentally', 'approximatesinusoidal', 'disturbances', 'wavenumber', 'rangefrom', 'well', 'well', 'thecutoff', 'growth', 'rates', 'measured', 'andcompared', 'theoretical', 'results', 'a', 'thirdorder', 'theory', 'shows', 'phenomenaof', 'overstability', 'found', 'theexperimental', 'results', 'measurementsof', 'later', 'stages', 'growth', 'agreemoderately', 'well', 'available', 'theoryand', 'disclose', 'additional', 'phenomenaof', 'bubble', 'competition', 'helmholtzinstability', 'transition', 'turbulenceand', 'jet', 'instability', 'production', 'drops']"
330,"['effects', 'surface', 'tension', 'viscosity', 'taylorinstability', 'model', 'used', 'twofluids', 'infinite', 'depth', 'interfaceinitially', 'form', 'sine', 'wave', 'withamplitude', 'small', 'compared', 'wave', 'length', 'the', 'fluids', 'considered', 'incompressibleand', 'linear', 'terms', 'equations', 'ofhydrodynamics', 'used', 'first', 'foursections', 'discuss', 'effects', 'surface', 'tensionand', 'viscosity', 'fifth', 'gives', 'numericalresults', 'illustrate', 'main', 'points', 'ofthe', 'preceding', 'sections']"
331,"['similitude', 'hypersonic', 'realgas', 'flows', 'slenderbodies', 'blunted', 'noses', 'basis', 'hypersonic', 'smallperturbation', 'theory', 'thelaws', 'similitude', 'hypersonic', 'inviscid', 'flow', 'fields', 'thin', 'orslender', 'bodies', 'examined', 'restrictions', 'ideal', 'gaseswith', 'constant', 'specific', 'heats', 'bodies', 'pointed', 'noses', 'areremoved', 'steady', 'plane', 'axisymmetric', 'flows', 'considered', 'inspection', 'governing', 'system', 'equations', 'shows', 'asimilitude', 'law', 'exists', 'flow', 'fields', 'local', 'thermal', 'equilibriumhaving', 'freestream', 'atmosphere', 'flows', 'ofideal', 'gas', 'constant', 'specific', 'heats', 'requirement', 'samefreestream', 'atmosphereie', 'composition', 'pressure', 'anddensitycan', 'replaced', 'requirement', 'ratio', 'ofspecific', 'heats', 'flows', 'blunted', 'wedges', 'cones', 'special', 'laws', 'similitudecan', 'obtained', 'application', 'similarity', 'rules', 'examined', 'case', 'ofhypersonic', 'flows', 'ideal', 'gas', 'flat', 'plateswith', 'blunt', 'leading', 'edges', 'case', 'equilibrium', 'airflows', 'wedges', 'possibility', 'simulating', 'nonequilibriumflows', 'slender', 'thin', 'bodies', 'also', 'pointed']"
332,"['boundarylayer', 'interaction', 'yawed', 'infinite', 'wing', 'hypersonicflow', 'equations', 'given', 'laminar', 'boundarylayerequations', 'yawed', 'infinite', 'wing', 'constantwall', 'temperature', 'combined', 'howorth', 'andmangler', 'transformation', 'diagrams', 'show', 'relativelysmall', 'influence', 'yaw', 'increase', 'boundarylayersecondary', 'flow', 'variation', 'local', 'heattransfer', 'rate', 'yaw']"
333,"['influence', 'leadingedge', 'shock', 'wave', 'laminar', 'boundary', 'layerat', 'hypersonic', 'speeds', 'order', 'bring', 'importance', 'leadingedge', 'region', 'athypersonic', 'speeds', 'influence', 'leadingedge', 'shock', 'wave', 'onthe', 'laminar', 'boundary', 'layer', 'investigated', 'two', 'simple', 'cases', 'ofsteady', 'flow', 'semiinfinite', 'insulated', 'flat', 'plate', '1', 'sharpleading', 'edge', '2', 'blunt', 'leading', 'edge', 'approximated', 'normalshock', 'wave', 'streamlines', 'enter', 'boundary', 'layer', 'largeregion', 'plate', 'surface', 'previously', 'crossed', 'shock', 'wavevery', 'near', 'leadingedge', 'shock', 'strong', 'highlycurved', 'consequently', 'temperature', 'outer', 'edge', 'theboundary', 'layer', 'appreciably', 'higher', 'freestream', 'temperatureand', 'vorticity', 'zero', 'effects', 'shockwavelarger', 'usual', 'errors', 'made', 'boundarylayer', 'theoryand', 'estimate', 'effects', 'therefore', 'obtained', 'within', 'theframework', 'theory', 'numerical', 'magnitude', 'shockwaveinfluence', 'found', 'appreciable', 'case', 'bluntleading', 'edge', 'slope', 'curve', 'induced', 'pressures', 'plotted', 'againstthe', 'hypersonic', 'interaction', 'parameter', 'closely', 'approaches', 'experimentaldata', 'hammitt', 'bogdonoff', 'obtained', 'helium', 'large', 'values', 'thisparameter', 'approximate', 'results', 'show', 'influence', 'theleadingedge', 'region', 'hypersonic', 'speeds', 'requires', 'careful', 'theoreticaland', 'experimental', 'study']"
334,"['interaction', 'boundary', 'layer', 'shock', 'waves', 'transonicflow', 'experiments', 'transonic', 'flow', 'past', 'circular', 'arc', 'profile', 'show', 'theshockwave', 'pattern', 'pressure', 'distribution', 'strongly', 'dependentupon', 'state', 'boundary', 'layer', 'change', 'laminar', 'toturbulent', 'boundary', 'layer', 'given', 'mach', 'number', 'changes', 'flow', 'pattern', 'considerably', 'shock', 'waves', 'interact', 'boundary', 'layer', 'manner', 'similar', 'toa', 'reflection', 'free', 'jet', 'boundary', 'shock', 'waves', 'notdistinctly', 'discernible', 'pressure', 'distribution', 'measurements']"
335,"['simplified', 'laminar', 'boundary', 'layer', 'calculations', 'forbodies', 'revolution', 'yawed', 'wings', 'since', 'introduction', 'momentum', 'methods', 'boundarylayercalculations', 'von', 'karman', 'pohlhausen', 'many', 'improvementshave', 'proposed', 'especially', 'simple', 'solutionreduces', 'problem', 'quadrature', 'here', 'proposed', 'extendthese', 'methods', 'elementary', 'threedimensional', 'cases', 'tocompressible', 'laminar', 'boundarylayer', 'calculations', 'comparisonthe', 'corresponding', 'problems', 'turbulent', 'boundarylayer', 'also', 'discussed', 'briefly']"
336,"['boundary', 'layer', 'transition', 'gas', 'injection', 'massinjection', 'process', 'proposed', 'methodof', 'cooling', 'aerodynamic', 'surfaces', 'and', 'since', 'amount', 'ofcoolant', 'required', 'maintain', 'practical', 'wall', 'temperatures', 'considerablylarger', 'turbulent', 'laminar', 'boundary', 'layersknowledge', 'effect', 'cooling', 'method', 'transitionprocess', 'certainly', 'important', 'exploratory', 'studies', 'reportedhere', 'conducted', 'mach', 'number', '37', 'ascertain', 'effectsof', 'gas', 'injection', 'stability', 'laminar', 'boundarylayer', 'conical', 'surface']"
337,"['mass', 'transfer', 'cooling', 'mach', 'number', '4', '8', 'masstransfer', 'experiments', '5', 'mil', 'wire', 'porous', 'coneof', '20', 'total', 'angle', 'conducted', 'usingair', 'helium', 'injection', 'details', 'experimental', 'techniqueare', 'described', 'references', '1', '2', 'laminar', 'boundarylayer', 'recovery', 'factors', 'heattransfer', 'coefficients', 'measuredwith', 'zero', 'injection', 'agreed', 'within', 'per', 'cent', 'theory', 'transition', 'reynolds', 'numbers', 'observed', 'porous', 'cone', 'withzero', 'injection', 'half', 'large', 'observed', 'smooth', 'impermeablemodel', 'identical', 'geometry', 'channel', 'butinjection', 'large', 'amounts', 'air', 'helium', 'cause', 'transitionto', 'move', 'forward', 'zeroinjection', 'position', 'theporous', 'cone', 'distributed', 'roughness', 'type', 'apparently', 'doesnot', 'disturb', 'impermeable', 'wall', 'theory', 'masks', 'whatevereffective', 'roughness', 'may', 'caused', 'discrete', 'pore', 'injection']"
338,"['experimental', 'evaluation', 'heat', 'transfer', 'transpirationcooling', 'turbulent', 'boundary', 'layer', 'm3', '2', 'found', 'prescribed', 'velocity', 'field', 'electrical', 'field', 'andconductivity', 'current', 'calculated', 'integration', 'work', 'isrelated', 'analytic', 'investigation', 'boundary', 'layer', 'physicallyreasonable', 'accelerator']"
339,"['analysis', 'effects', 'diffusion', 'foreign', 'gas', 'intothe', 'laminar', 'boundary', 'layer', 'supersonic', 'flow', 'ofair', 'tube', 'adiabatic', 'wall', 'temperatures', 'recovery', 'factors', 'calculatedfor', 'pipe', 'flows', 'entrance', 'mach', 'number', '5', 'uniforminjection', 'helium', 'predicted', 'values', 'recovery', 'factor', 'increaseslowly', 'increasing', 'injection', 'rate', 'increasingdistance', 'tube', 'entrance']"
340,"['analytical', 'design', 'axially', 'symmetric', 'lavalnozzle', 'parallel', 'uniform', 'jet', 'equations', 'nozzles', 'contours', 'derived', 'integrationof', 'characteristic', 'equations', 'axially', 'symmetric', 'flow', 'since', 'possible', 'integrate', 'equations', 'mathematicallyin', 'exact', 'form', 'necessary', 'find', 'way', 'approximatethe', 'calculations', 'approximation', 'offers', 'consideringand', 'comparing', 'conditions', 'flow', 'cone', 'withthose', 'nozzle', 'linearization', 'characteristic', 'equations', 'first', 'part', 'report', 'deals', 'equations', 'transitioncurve', 'conical', 'source', 'flow', 'converted', 'aparallel', 'stream', 'uniform', 'velocity', 'equations', 'derivedby', 'integration', 'along', 'mach', 'line', 'flow', 'region', 'wherethe', 'conversion', 'takes', 'place', 'factor', 'f', 'introduced', 'expressing', 'arelation', 'direction', 'velocity', 'flow', 'alonga', 'certain', 'mach', 'line', 'f', 'remains', 'undetermined', 'involvedin', 'final', 'equations', 'second', 'part', 'report', 'spherical', 'sonic', 'flow', 'sectionis', 'converted', 'plane', 'circular', 'section', 'throat', 'the', 'nozzles', 'contour', 'adjacent', 'throat', 'formed', 'arcof', 'circle', 'connected', 'transition', 'curve', 'straight', 'line', 'the', 'gas', 'dynamic', 'properties', 'boundary', 'mach', 'line', 'calculatedin', 'table', '1', 'use', 'shortens', 'calculations', 'considerably']"
341,"['effect', 'diffusion', 'fields', 'laminar', 'boundarylayer', 'theory', 'developed', 'describes', 'effect', 'generaldiffusion', 'field', 'dynamic', 'thermal', 'characteristics', 'alaminar', 'boundary', 'layer', 'flat', 'plate', 'steady', 'compressibleflow', 'fluid', 'properties', 'considered', 'functions', 'temperatureand', 'local', 'concentration', 'foreign', 'gas', 'diffusionfield', 'described', 'differential', 'equation', 'relates', 'convectiveand', 'diffusion', 'transfer', 'considers', 'diffusion', 'currentsarising', 'gradients', 'concentration', 'temperature', 'bymeans', 'usual', 'transformations', 'system', 'reduced', 'setof', 'ordinary', 'differential', 'equations', 'turn', 'transformedinto', 'set', 'integral', 'equations', 'latter', 'amenable', 'solutionby', 'method', 'successive', 'approximations', 'theory', 'results', 'bearing', 'problem', 'controland', 'reduction', 'aerodynamic', 'heating', 'hypersonic', 'speeds', 'the', 'special', 'feature', 'approach', 'lies', 'utilization', 'diffusionfields', 'purpose', 'reducing', 'detrimental', 'effectsof', 'viscous', 'dissipation', 'although', 'theory', 'adapted', 'afuller', 'investigation', 'problem', 'numerical', 'examplesconsidered', 'involve', 'mainly', 'diffusion', 'fields', 'helium', 'whichgood', 'results', 'achieved', 'mach', 'numbers', '8', '12', 'whereas', 'higher', 'mach', 'number', 'influx', 'heat', 'practicallyeliminated', 'reversal', 'direction', 'heat', 'flow', 'hasbeen', 'effected', 'lower', 'mach', 'number']"
342,"['transpiration', 'cooling', 'experiments', 'turbulent', 'boundarylayer', 'm3', 'turbulent', 'recovery', 'factor', 'heattransfer', 'measurements', 'beenmade', 'porous', 'flat', 'wall', 'section', 'nominal', 'mach', 'number', '30', 'areynolds', 'number', 'approximately', '4', 'x', '10', 'using', 'air', 'helium', 'thetranspired', 'gas', 'measured', 'heattransfercoefficients', 'correlate', 'well', 'thecompressible', 'theory', 'rubesin', 'airand', 'qualitatively', 'simple', 'filmtheory', 'either', 'coolant', 'indicating', 'thatthe', 'heat', 'transfer', 'turbulentboundary', 'layer', 'reduced', 'transpirationcooling', 'well', 'ofthe', 'uncooled', 'boundary', 'layer', 'reynolds', 'number']"
343,"['experimental', 'techniques', 'mass', 'transfer', 'cooling', 'author', 'introduces', 'survey', 'brief', 'review', 'history', 'ofinvestigations', 'dealing', 'boundary', 'layers', 'impermeable', 'solidsurfaces', 'notes', 'true', 'theory', 'exists', 'turbulent', 'boundarylayers', 'success', 'studies', 'area', 'due', 'tothe', 'introduction', 'artificial', 'ingenious', 'assumptions', 'permittedempirical', 'correlations', 'fd', 'data', 'terminology', 'introducedby', 'author', 'distinguishing', 'different', 'situations', 'involvingmass', 'transfer', 'wall', 'stream', 'may', 'give', 'rise', 'someobjections', 'instance', 'film', 'cooling', 'need', 'refer', 'tothe', 'injection', 'liquid', 'since', 'applications', 'involving', 'gas', 'filmcooling', 'exist', 'also', 'restriction', 'term', 'transpirationcooling', 'refer', 'injection', 'porous', 'surface', 'gasonly', 'composition', 'exterior', 'stream', 'enjoyuniversal', 'usage', 'influence', 'mass', 'transfer', 'heat', 'transferthrough', 'laminar', 'boundary', 'layers', 'transition', 'laminarto', 'turbulent', 'flow', 'described', 'consideration', 'given', 'thequestion', 'net', 'effect', 'stabilizing', 'influence', 'surfacecooling', 'destabilizing', 'influence', 'injection', 'reviewer', 'suggests', 'authors', 'inaccurate', 'statement', 'effectthat', 'thus', 'far', 'higher', 'energy', 'conditions', 'threatento', 'involve', 'turbulent', 'injection', 'turbulent', 'boundarylayer', 'researchenjoys', 'fairly', 'academic', 'serenity', 'broken', 'frustrationsbe', 'excused', 'grounds', 'poetic', 'license', 'although', 'ignoresthe', 'efforts', 'devoted', 'pressing', 'practical', 'problemsof', 'erosive', 'burning', 'solid', 'propellants', 'possibly', 'commonexample', 'complete', 'aerothermochemical', 'problem', 'involvingdistributed', 'surface', 'heat', 'mass', 'transfer', 'chemical', 'reactionin', 'flow', 'system', 'effusion', 'cooling', 'rocket', 'nozzles', 'bothof', 'involve', 'turbulent', 'boundarylayer', 'conditions', 'authoremphasizes', 'tedious', 'experimental', 'problems', 'involved', 'researchon', 'boundary', 'layers', 'blowing', 'notes', 'desirability', 'velocitydistribution', 'measurements', 'especially', 'turbulent', 'injectionlayers', 'observation', 'good', 'data', 'concentration', 'profilesin', 'case', 'diffusion', 'boundary', 'layer', 'publishedmay', 'overstatement', 'since', 'authors', 'bibliography', 'overlooksthe', 'work', 'j', 'berger', 'contribution', 'letude', 'de', 'linjectionparietale', 'doctors', 'thesis', 'university', 'paris', 'memorial', 'despoudres', '38', 'annex', 'p', '1', 'paris', 'imprimerie', 'nationale', '1956']"
344,"['interaction', 'shock', 'waves', 'boundary', 'layeron', 'flat', 'surface', 'development', 'supersonic', 'compressors', 'supersonicdiffusers', 'highspeed', 'aircraft', 'points', 'increasing', 'importanceof', 'interaction', 'shock', 'waves', 'boundarylayers', 'experimental', 'work', 'reported', 'intended', '1', 'providea', 'better', 'understanding', 'nature', 'shockboundarylayerinteraction', '2', 'serve', 'guide', 'stimulus', 'theoreticalwork', '3', 'develop', 'empirical', 'method', 'predicting', 'theeffects', 'interaction', 'experiments', 'performed', 'reflection', 'obliqueshock', 'boundary', 'layer', 'flat', 'surface', 'mach', 'numberof', '205', 'effects', 'shock', 'strength', 'boundarylayer', 'regimewere', 'explored', 'results', 'form', 'schlieren', 'photographs', 'constantdensitycontours', 'found', 'interferometer', 'photographs', 'andstatic', 'pressure', 'distributions', 'plate', 'surface']"
